date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
9.9.2020 22.45	JoeBiden		10471	22170	92895	If Donald Trump had acted just two weeks earlier, 54,000 lives could have been spared in March and April alone. Instead, he downplayed the threat and refused to take action — costing lives and sending our economy into a tailspin. It’s an unjustifiable dereliction of duty.				1,30E+18	https://twitter.com/JoeBiden/status/1303826768525131776	
9.9.2020 21.27	JoeBiden		1099	3246	18628	Roberto Clemente was an incredible baseball player. He was a barrier breaker and a humanitarian. As he rose to fame, he lifted the Black and Latino communities with him. I may be a Phillies fan, but I’m always proud to honor the legacy of #21.				1,30E+18	https://twitter.com/JoeBiden/status/1303807139203493888	
9.9.2020 20.18	JoeBiden		20575	25103	140243	I promise you that if I’m elected, I’ll always tell you the truth. I’ll listen to the experts and do everything I can to contain this virus. And I’ll always put your health and safety first — no matter the political cost.				1,30E+18	https://twitter.com/JoeBiden/status/1303789774851907584	
9.9.2020 18.07	JoeBiden	washingtonpost	9211	38219	132790	Donald Trump knew. He lied to us for months. And while a deadly disease ripped through our nation, he failed to do his job — on purpose. It was a life or death betrayal of the American people.				1,30E+18	https://twitter.com/JoeBiden/status/1303756807895220226	
9.9.2020 17.41	JoeBiden		3402	3131	12917	I’m in Warren, Michigan, to discuss how a Biden-Harris administration will ensure the future is made in America — by America’s workers. Tune in now:				1,30E+18	https://twitter.com/JoeBiden/status/1303750335345733632	
9.9.2020 16.20	JoeBiden		3170	5685	22399	The right to vote is the most sacred American right there is — exercise it. Make your voice heard this November.				1,30E+18	https://twitter.com/JoeBiden/status/1303729880211759104	
9.9.2020 14.20	JoeBiden		3852	10061	31907	President Obama and I rescued the auto industry and helped Michigan's economy come roaring back. Donald Trump squandered it — and hardworking Michiganders are paying the price every day.				1,30E+18	https://twitter.com/JoeBiden/status/1303699681420087296	
9.9.2020 0.48	JoeBiden		1221	2753	11992	Given his track record, no one can take Trump’s word alone on a COVID-19 vaccine. But with satisfactory answers to these questions, every American can have confidence in a safe and effective COVID-19 vaccine.				1,30E+18	https://twitter.com/JoeBiden/status/1303495445717512192	
9.9.2020 0.48	JoeBiden		1374	2486	12437	3: What is the plan to allocate and distribute vaccines to Americans cost-free, safely, equitably, and without politics? President Trump should release a detailed distribution plan to ensure every American — not just the wealthy and well-connected — receives the vaccine.				1,30E+18	https://twitter.com/JoeBiden/status/1303495444018929665	
9.9.2020 0.48	JoeBiden		546	1828	8802	2: Who will validate that the Administration’s decision to greenlight a COVID-19 vaccine is driven by science and not political motivation? We must hear uncensored statements on efficacy and safety from @FDACBER, the @US_FDA vaccine advisory committee, and Dr. Fauci.		@FDACBER @US_FDA		1,30E+18	https://twitter.com/JoeBiden/status/1303495442924212224	
9.9.2020 0.48	JoeBiden		507	2480	12361	1: What criteria will be used to ensure a vaccine meets the scientific standard of safety and efficacy? The FDA must clarify what criteria it will use, and President Trump must commit to respecting the independent judgment of the non-political professional staff at the FDA.				1,30E+18	https://twitter.com/JoeBiden/status/1303495441875640321	
9.9.2020 0.48	JoeBiden		2695	10329	48333	A safe and effective COVID-19 vaccine could save countless lives. We need one as soon as possible. But while I see a vaccine as a product of science, President Trump sees it as a political tool. Politics should play no role in this. The Administration must answer the following:				1,30E+18	https://twitter.com/JoeBiden/status/1303495440701313025	
9.9.2020 0.15	JoeBiden		26483	29245	208547	Donald Trump is incapable of providing the leadership this moment requires.				1,30E+18	https://twitter.com/JoeBiden/status/1303487030052007936	
8.9.2020 22.28	JoeBiden		1590	3276	12268	Every single American worker deserves the chance to join a union. As president, I’ll strengthen our labor unions and ensure workers can bargain for the pay, benefits, and workplace protections they deserve.				1,30E+18	https://twitter.com/JoeBiden/status/1303460102649843717	
8.9.2020 20.50	JoeBiden	KamalaHarris	4238	7940	41674	I can tell you few people know me as well as @BarackObama and @KamalaHarris do.		@BarackObama @KamalaHarris		1,30E+18	https://twitter.com/JoeBiden/status/1303435439978803202	
8.9.2020 20.00	JoeBiden	bpolitics	2350	8459	34513	Just months ago, Donald Trump was planning to allow oil and gas drilling off the coast of Florida. Now, with 56 days until the election, he conveniently says that he changed his mind. Unbelievable. You don't have to guess where I stand: I oppose new offshore drilling.				1,30E+18	https://twitter.com/JoeBiden/status/1303423093176774657	
8.9.2020 19.21	JoeBiden		2081	4288	16248	On this feast day of Cuba’s patron saint la Virgen de la Caridad del Cobre, Jill and I pray that the love and compassion “Cachita” inspires will fill the hearts of Cubans and believers around the world.				1,30E+18	https://twitter.com/JoeBiden/status/1303413042470776832	
8.9.2020 18.00	JoeBiden		1970	5762	21533	Unlike Donald Trump, I'll listen to the experts and heed their advice — especially when it comes to matters of health and safety. You should expect nothing less from your president.				1,30E+18	https://twitter.com/JoeBiden/status/1303392660699451392	
8.9.2020 16.30	JoeBiden		15503	23560	131374	This economy may be working great for Donald Trump and his wealthy friends — but it's not working for the rest of America. It's time we change that.				1,30E+18	https://twitter.com/JoeBiden/status/1303370008832155648	
8.9.2020 14.10	JoeBiden		6361	16170	84972	At our best, America has always been generous, kind, and optimistic. We treat each other with dignity, give hate no safe harbor, and leave no one behind. I believe we can be that nation once again.				1,30E+18	https://twitter.com/JoeBiden/status/1303334776959651840	
8.9.2020 0.10	JoeBiden		5416	17243	55388	Mr. President — If you’re so good at making deals, then why does your trade deal cost American workers so much pain while letting China off the hook for its biggest trade abuses?				1,30E+18	https://twitter.com/JoeBiden/status/1303123383840890880	
7.9.2020 22.30	JoeBiden		3038	4523	17275	As president, I’ll make record investments in American industry and create millions of good-paying, union jobs. We’re going to make sure the future is made in America — and built by union workers.				1,30E+18	https://twitter.com/JoeBiden/status/1303098219337981954	
7.9.2020 21.15	JoeBiden		8102	20026	103089	Wall Street didn't build this country — the middle class did. And unions built the middle class. Donald Trump doesn't understand that. We need a president who does.				1,30E+18	https://twitter.com/JoeBiden/status/1303079343766331393	
7.9.2020 19.45	JoeBiden		9439	27432	156487	It's not enough to just thank our essential workers — we need to pay them. As president, I’ll: - Raise the minimum wage to $15 - End the tipped minimum wage - End the sub-minimum wage for people with disabilities - Ensure everyone has strong benefits				1,30E+18	https://twitter.com/JoeBiden/status/1303056694360944640	
7.9.2020 18.24	JoeBiden		5093	12232	55017	For years, President Trump and Republicans have waged a war on America's labor unions. It will end on my watch. I'll sign the PRO Act — making it easier for workers to organize and collectively bargain — and be the strongest labor president workers have ever had.				1,30E+18	https://twitter.com/JoeBiden/status/1303036310177951747	
7.9.2020 16.45	JoeBiden		1639	4260	17048	Together, we can build a future that reflects working people’s courage and ambition. One that not only offers good jobs — but the dignity, equity, shared prosperity, and common purpose due to every American.				1,30E+18	https://twitter.com/JoeBiden/status/1303011396041486340	
7.9.2020 16.06	JoeBiden		5530	24335	133623	The 40-hour workweek Minimum wage Overtime pay Health care Workplace safety protections They’re all because of unions — and it’s time we recognize that.				1,30E+18	https://twitter.com/JoeBiden/status/1303001581437165570	
7.9.2020 14.00	JoeBiden		3131	15024	62672	Today, we honor the generations of union workers who fought for the rights, power, wages, and benefits that built and sustained the great American middle class. #LaborDay			#LaborDay	1,30E+18	https://twitter.com/JoeBiden/status/1302969877154668544	
7.9.2020 0.45	JoeBiden		28963	40755	299925	We need to restore honor and decency to the White House.				1,30E+18	https://twitter.com/JoeBiden/status/1302769803925487616	
7.9.2020 0.20	JoeBiden	JoseADelgadoEND	2858	8186	34443	Time and again, the president has refused to provide Puerto Rico with much-needed resources. He’s repeatedly insulted Puerto Ricans and this latest action is another example of his disrespect for the island. This ends when I’m elected president.				1,30E+18	https://twitter.com/JoeBiden/status/1302763609194467328	
6.9.2020 22.15	JoeBiden		13720	22311	102553	Donald Trump promised to be "the greatest jobs president God ever created." But in reality, he's on track to become the first president in modern history to leave office with fewer jobs than when he entered. American workers can't take four more years of his failed leadership.				1,30E+18	https://twitter.com/JoeBiden/status/1302732055214653441	
6.9.2020 20.30	JoeBiden		2181	6091	24050	We all want our schools to reopen — but we need to do it in a way that puts the health and safety of our students and educators first. Here's how @KamalaHarris and I will reopen our schools safely and effectively:		@KamalaHarris		1,30E+18	https://twitter.com/JoeBiden/status/1302705631938347009	
6.9.2020 18.30	JoeBiden		6845	30805	82282	We know what President Trump thinks of our nation's veterans. Here is what they think of him.				1,30E+18	https://twitter.com/JoeBiden/status/1302675432144351234	
